Project,Language,Technologies,What?,Year,Description,Role,,,,,,,,,,,,,,,,,,,,,,
VCCC (Video Catalog Code Crawler),Go,,"FFmpeg, ImageMagick, Giphy",2019,A series of tools for expanding the potential of a content catalog using FFmpeg and ImageMagick.,,,2019,,,,,,,,,,,,,,,,,,,,
CrossBreed,Go,,BeautifulSoup,2019,A series of tools for aggregating marijuana strain and review data from the internet,,,,,,,,,,,,,,,,,,,,,,,
scopingVoices,Go,"Twitter API, Periscope",,"Go, API",Application for finding Periscope streams and exporting their audio/video content for artistic purposes.,,,,,,,,,,,,,,,,,,,,,,,
Human Garden,MaxMSP,"Leap Motion, Interactivity",,,,,,,,,,,,,,,,,,,,,,,,,,
gomu,Go,,"FFmpeg, ImageMagick",2019,,,,2019,,,,,,,,,,,,,,,,,,,,
ansaphone,"MaxMSP, Node","Twilio, FFmpeg, MaxMSP, Node.js",,2019,"Ansaphone is a system where attendees can call-in, leave a voicemail, and download the audio files to a local machine using FFMPEG and Node within Max. The files are pooled and accessible via audio samplers within Max to create an event collage.",,,,,,,,,,,,,,,,,,,,,,,
maverickUtensils,"Go, MaxMSP",Various,,2019,utensils for artists and developers who want to maverick of physical computing and cyber-physical systems,,,,,,,,,,,,,,,,,,,,,,,
TwilioIoT,"Arduino, C, Go, Javascript","Twilio, React.js, Azure, AWS, IoT Hub, EC2, S3",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
Sending a SIM Command from an Azure Virtual Machine with Nodejs,Node,"Twilio IoT, Azure, VMs",NB-IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
"Create an NB-IoT environmental monitor for food shipments with TwilioIoT, Node and Pusher",Node,"Twilio IoT, Pusher",NB-IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer NB-IoT with Twilio's Alfa Development Kit,"C (Arduino), Breakout SDK","Twilio Narrowband, Alfa Developer Kit",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
Say hello to the Arduino MKR GSM 1400 with Programmable Wireless and Go,"C (Arduino), Go","Twilio SIM, Arduino MKR GSM 1400",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
Saying Happy Birthday to my Grandma with #TwilioIoT,C (Arduino),"Twilio SIM, Seeed Studio Wio LTE",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
M2M Commands Quickstart: Wio LTE,C (Arduino),"Twilio IoT, Seeed Studio",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
M2M Commands Quickstart: Linkit One,C (Arduino),"Twilio IoT, Seeed Studio",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
M2M Commands Quickstart: Adafruit Feather Fona 3G,C (Arduino),"Twilio IoT, Adafruit",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
M2M Commands Quickstart: Adafruit Feather 32u4 Fona,C (Arduino),"Twilio IoT, Adafruit",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
M2M Commands Quickstart: Arduino MKR GSM 1400,C (Arduino),"Twilio IoT, Arduino",Cellular IoT,2019,,,,,,,,,,,,,,,,,,,,,,,,
Twilio Flex + Azure IoT,Javascript,"Twilio Flex, React, Azure IoT",,2019,,,,,,,,,,,,,,,,,,,,,,,,
Twilio Flex + Wavesurfer.js,Javascript,"Twilio Flex, React, Wavesurfer.js",,2019,,,,,,,,,,,,,,,,,,,,,,,,
Twilio Flex + Rick Asterly,Javascript,"Twilio Flex, React",,2019,,,,,,,,,,,,,,,,,,,,,,,,
twilioElektron,Node,"Twilio, MIDI",,2018,An example of intergrating Twilio SMS as a performance control solution for an Elektron Octatrack using MIDI and Node.js,,,,,,,,,,,,,,,,,,,,,,,
goTwiMLGenerator,Go,"Twilio, TwiML",,2018,A set of examples of how to generate TwiML XML files for specific projects,,,,,,,,,,,,,,,,,,,,,,,
WebSMS,Node,"Twilio, SMS",,2018,,,,,,,,,,,,,,,,,,,,,,,,
WebChatSMS,Node,"Twilio, Chat",,2018,,,,,,,,,,,,,,,,,,,,,,,,
transcriptComber,Node,Express,,2018,Search media transcripts with text highlighting and audio playhead positioning,,,,,,,,,,,,,,,,,,,,,,,
HawaiianEarthquakes,"Go, MaxMSP, Arduino",USGS API,,2018,Tracking earthquakes in Hawaii using USGS geojson data,,,,,,,,,,,,,,,,,,,,,,,
normalizeAudio,Go,FFmpeg,,2018,Golang + ffmpeg automation routine for finding an audio file's max volume and create a normalized output file,,,,,,,,,,,,,,,,,,,,,,,
datReact,"Javascript, React.js",Dat project,,2018,Single page example of a Dat project using React.js,,,,,,,,,,,,,,,,,,,,,,,
videotitlesearch,"Node.js, React.Js",,,2018,Autosuggesting titles from my analog video synthesis catalog in React,,,,,,,,,,,,,,,,,,,,,,,
CatalogSearch,"Node.js, Express, React.Js",,,2018,Web app for searching a CSV video catalog using Go + React + react-autosuggest,,,,,,,,,,,,,,,,,,,,,,,
yack.com,Javascript,"MERN, AWS, DynamoDB",,2017,Web application for streamlining emergency communication between responders and callers,,,,,,,,,,,,,,,,,,,,,,,
Stenos,Javascript,"Node.js, Javascript, Express, AWS, IBM Watson",,2017,Web application that allows a user to transcribe audio/video sources and automatically create new pages with a searchable transcription interface.,,,,,,,,,,,,,,,,,,,,,,,
maxJS,MaxMSP,Javascript,,2016,Javascript examples for MaxMSP,,,,,,,,,,,,,,,,,,,,,,,
arduivis,"MaxMSP, Pure Data","Arduino, Physical Computing",,2015,a bi-directional communication paradigm for programming languages & microcontrollers,,,,,,,,,,,,,,,,,,,,,,,
LV-426,Javascript,p5js,,2015,"A sonified interpretation of a derelict ship from the film ""Alien""",,,,,,,,,,,,,,,,,,,,,,,
Muse,Pure Data,"Csound, OpenFrameworks, OSC",,2015,,,,,,,,,,,,,,,,,,,,,,,,
csoundPrototypingUDOs,Csound,"Qu-Bit Nebulae, Raspberry Pi",,2014,A collection of Csound UDOs for rapidly prototyping new audio projects,,,,,,,,,,,,,,,,,,,,,,,
csoundNebulaeInstruments,Csound,"Qu-Bit Nebulae, Raspberry Pi",,2014,"A collection of instruments created in Csound for the ""Nebulae"" by Qu-Bit Electronix",,,,,,,,,,,,,,,,,,,,,,,
generativeBreakpointEnvelope,MaxMSP,"Ableton, Max-for-Live",,2014,generative breakpoint envelope for Ableton & MaxMSP,,,,,,,,,,,,,,,,,,,,,,,
opticalSonance,MaxMSP,"Lucas numbers, Sonification",,2014,Light Sonification and Drawing Machine Software,,,,,,,,,,,,,,,,,,,,,,,
ghostly,MaxMSP,Audio sampling,,2014,Real-time Spectral Sampler [Stretch & Delay],,,,,,,,,,,,,,,,,,,,,,,
wiiAirDrum,MaxMSP,"Physical Computing, Music Therapy",,2014,wii-based Drum Sampler created in MaxMSP for a Music Therapy Development Group (Berklee College of Music),,,,,,,,,,,,,,,,,,,,,,,
Palm Data,MaxMSP,"Arduino, Physical Computing",,2013,A custom prototype for the course “An Innovative Approach to Treating Neuro Clients” by John Konopka at the Montana Occupational Therapy Association,,,,,,,,,,,,,,,,,,,,,,,
Mini-Interactive Tutu,Arduino,"XBee, Physical Computing, FFT, Wireless",,2013,"The project consisted of an adapted RC car with a custom frame and an Arduino controller with wireless control. Along with that, two more Arduino controllers were used, one with electret microphone using FFT processing and one controlling smooth changing RGB LEDs on MIT-1. MIT-1 was featured during the song “Never Alone”.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Co-creator,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Project Manager, Software Architect, Integration Specialist",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
